"x","cust_id","emoji_modifier","duration","flags","income","Population","line"
1,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",396,1,65829,2731571,"Run"
2,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",409,0,65829,2731571,"Run"
3,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",403,1,65829,2731571,"Run"
4,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",441,0,65829,2731571,"Run"
5,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",464,0,65829,2731571,"Run"
6,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",445,0,65829,2731571,"Run"
7,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",477,2,65829,2731571,"Run"
8,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",417,1,65829,2731571,"Run"
9,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",392,0,65829,2731571,"Run"
10,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",469,2,65829,2731571,"Run"
11,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",424,3,65829,2731571,"Run"
12,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",445,0,65829,2731571,"Run"
13,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",459,2,65829,2731571,"Run"
14,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",437,3,65829,2731571,"Run"
15,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",406,1,65829,2731571,"Run"
16,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",406,0,65829,2731571,"Run"
17,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",450,0,65829,2731571,"Run"
18,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",435,0,65829,2731571,"Run"
19,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",407,0,65829,2731571,"Run"
20,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",442,0,65829,2731571,"Run"
21,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",427,1,65829,2731571,"Run"
22,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",412,3,65829,2731571,"Run"
23,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","U+1F3FB",418,0,65829,2731571,"Run"
24,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",399,1,65829,2731571,"Run"
25,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",391,0,65829,2731571,"Run"
26,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",374,1,65829,2731571,"Run"
27,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",436,0,65829,2731571,"Run"
28,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",405,1,65829,2731571,"Run"
29,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",424,4,65829,2731571,"Run"
30,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",435,3,65829,2731571,"Run"
31,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",400,0,65829,2731571,"Run"
32,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",448,3,65829,2731571,"Run"
33,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",425,3,65829,2731571,"Run"
34,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",387,0,65829,2731571,"Run"
35,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",405,0,65829,2731571,"Run"
36,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",425,1,65829,2731571,"Run"
37,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",411,0,65829,2731571,"Run"
38,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",461,0,65829,2731571,"Run"
39,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",406,1,65829,2731571,"Run"
40,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",422,1,65829,2731571,"Run"
41,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",410,0,65829,2731571,"Run"
42,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",471,2,65829,2731571,"Run"
43,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",379,0,65829,2731571,"Run"
44,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",407,1,65829,2731571,"Run"
45,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",439,3,65829,2731571,"Run"
46,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",395,1,65829,2731571,"Run"
47,"006f8a73-e930-43bd-8e14-58260b0a409e","U+1F3FB",409,0,65829,2731571,"Run"
48,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",373,6,65829,2731571,"Active"
49,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",373,11,65829,2731571,"Active"
50,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",388,19,65829,2731571,"Active"
51,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",371,14,65829,2731571,"Active"
52,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",388,12,65829,2731571,"Active"
53,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",329,9,65829,2731571,"Active"
54,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",354,8,65829,2731571,"Active"
55,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",367,6,65829,2731571,"Active"
56,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",342,18,65829,2731571,"Active"
57,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",368,11,65829,2731571,"Active"
58,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",349,8,65829,2731571,"Active"
59,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",373,12,65829,2731571,"Active"
60,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",351,16,65829,2731571,"Active"
61,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",369,17,65829,2731571,"Active"
62,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",373,10,65829,2731571,"Active"
63,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",356,12,65829,2731571,"Active"
64,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",396,22,65829,2731571,"Active"
65,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",395,11,65829,2731571,"Active"
66,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",361,8,65829,2731571,"Active"
67,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",383,13,65829,2731571,"Active"
68,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",387,19,65829,2731571,"Active"
69,"007fef1d-547b-414e-a9d9-ba9b769999f2","U+1F3FF",394,13,65829,2731571,"Active"
70,"009ab4e0-2ba7-4b76-b70e-467d9d4c3fbc","U+1F3FF",291,13,65829,2731571,"Run"
71,"009ab4e0-2ba7-4b76-b70e-467d9d4c3fbc","U+1F3FF",295,6,65829,2731571,"Run"
72,"009ab4e0-2ba7-4b76-b70e-467d9d4c3fbc","U+1F3FF",262,10,65829,2731571,"Run"
73,"009ab4e0-2ba7-4b76-b70e-467d9d4c3fbc","U+1F3FF",296,12,65829,2731571,"Run"
